,update,merit,gestation,fitness,repro_rate,dep_size,copied_size,executed_size,dep_abundance,prop_birth,breed_true,dep_depth,generation,neutral,label,true_rep_rate,not,nand,and,orn,or,andn,nor,xor,equ,resnot,resand,resor,resnor,resnand,resorn,resandn,resxor,resequ,safe,inst_executed,popsize,genotypecount,thresholdgenotypes,numspecies,numthresholdspecies,numlineages,numbirths,numdeaths,numbreedtrue,numbreedtrue2,numnobirth,numsinglethreaded,nummultithreaded,nummodified,uniquephenotypetask,shannondiv,uniquephenotypecount,avgshannondiv,avgtaskdiv,seed,condition
155259,100000,56133000.0,2222.24,24701.8,0,0,122.795,117.203,0,0.00729167,0.00520833,0,1737.28,-0.5211720000000001,0,25231.2,816.0,941.0,901.0,944.0,597.0,928.0,917.0,315.0,580.0,18.0777,22.9444,56.7623,15.5954,24.796,15.7357,16.2971,44.3204,25.6199,930.0,28800.0,960.0,393.0,129.0,0.0,0.0,0.0,7.0,10.0,5.0,721.0,475.0,960.0,0.0,0.0,25.0,2.28948,80.0,2.73003,7.2278,10113,killed-pop6
155360,100000,127754.0,1235.81,109.867,0,0,243.694,186.281,0,0.021544,0.010772,0,3169.85,1.42348,0,74.7024,533.0,658.0,635.0,634.0,1006.0,1053.0,705.0,905.0,332.0,17.5394,14.1539,13.9418,14.6401,8.582469999999999,8.1664,13.2855,8.524339999999999,20.9679,9000.0,32760.0,1114.0,744.0,262.0,0.0,0.0,0.0,24.0,17.0,12.0,534.0,287.0,1114.0,0.0,0.0,70.0,3.88181,140.0,2.42288,5.7916300000000005,9595,killed-pop10
155461,100000,1.15893e+32,12456.8,9.05297e+27,0,0,826.602,526.371,0,0.00224719,0.0,0,2641.77,-26.4749,0,1.89422e+38,853.0,765.0,0.0,844.0,857.0,8.0,688.0,742.0,737.0,118.756,115.15,994.99,115.598,113.102,994.853,499.003,117.066,122.251,930.0,26700.0,890.0,860.0,16.0,0.0,0.0,0.0,2.0,2.0,0.0,76.0,429.0,890.0,0.0,0.0,24.0,1.77068,59.0,2.44103,6.173030000000002,10211,killed-pop1
155562,100000,328327000.0,2785.93,118471.0,0,0,389.266,330.69,0,0.00843882,0.00843882,0,1440.19,15.1312,0,106087.0,948.0,948.0,438.0,948.0,948.0,510.0,948.0,0.0,948.0,15.3576,40.7593,63.8702,15.4191,20.9238,34.4082,17.3786,994.992,22.2574,930.0,28350.0,948.0,2.0,2.0,0.0,0.0,0.0,8.0,5.0,8.0,948.0,456.0,948.0,0.0,0.0,2.0,0.995835,2.0,2.77898,7.0,10224,ecology-pop2
155800,100000,110425.0,1077.03,105.073,0,0,219.541,195.49400000000003,0,0.0208901,0.00454133,0,3408.75,23.5422,0,74.8665,775.0,1089.0,1063.0,1076.0,738.0,768.0,741.0,1041.0,302.0,14.0769,8.528189999999999,10.7725,8.2341,16.4991,14.2529,16.2482,8.50977,19.8474,930.0,32730.0,1101.0,761.0,190.0,0.0,0.0,0.0,23.0,18.0,5.0,558.0,602.0,1101.0,0.0,0.0,34.0,1.73026,77.0,2.71518,6.9042,10191,killed-pop10
155901,100000,86851800.0,2659.0,32663.3,0,0,176.0,172.0,0,0.0116402,0.0116402,0,1230.14,7.94717,0,27309.4,945.0,0.0,0.0,945.0,945.0,945.0,945.0,945.0,945.0,16.909000000000002,994.992,994.992,15.5697,17.0327,34.291,17.6922,19.9728,31.1715,930.0,28230.0,945.0,1.0,1.0,0.0,0.0,0.0,11.0,7.0,11.0,945.0,452.0,945.0,0.0,0.0,1.0,0.0,1.0,2.77924,7.0,10927,ecology-pop7
156002,100000,64644.3,1116.79,57.6792,0,0,128.691,126.767,0,0.0173116,0.0173116,0,2846.64,-21.8948,0,41.3914,329.0,982.0,653.0,982.0,982.0,982.0,727.0,255.0,727.0,22.6942,6.90543,8.83592,6.51707,6.72015,6.7831,8.49818,29.9376,8.65526,930.0,29310.0,982.0,3.0,3.0,0.0,0.0,0.0,17.0,15.0,17.0,982.0,494.0,982.0,0.0,0.0,3.0,1.5619,3.0,2.74966,6.74055,10467,ecology-pop4
156103,100000,489353000000.0,3341.88,131420000.0,0,0,187.345,180.921,0,0.00755124,0.00431499,0,1891.18,-55.0704,0,95785900.0,847.0,763.0,213.0,856.0,803.0,781.0,735.0,764.0,766.0,34.1129,28.9569,100.618,24.8872,27.2187,26.0915,33.8455,29.0875,25.432,930.0,27750.0,927.0,576.0,154.0,0.0,0.0,0.0,7.0,6.0,4.0,539.0,436.0,927.0,0.0,0.0,29.0,2.27258,94.0,2.57335,7.04104,10932,killed-pop7
156195,100000,102378.0,1020.07,95.7837,0,0,133.536,128.226,0,0.0188088,0.0125392,0,3427.97,9.74689,0,59.3355,385.0,894.0,762.0,670.0,874.0,880.0,569.0,279.0,565.0,14.2221,6.638089999999999,7.90694,10.5979,7.03856,6.8392,9.41479,24.9108,9.00097,930.0,28470.0,957.0,515.0,155.0,0.0,0.0,0.0,18.0,11.0,12.0,613.0,477.0,957.0,0.0,0.0,53.0,3.07953,88.0,2.5341400000000003,6.14226,10677,killed-pop4
156296,100000,3.63173e+38,7496.03,5.24419e+34,0,0,390.482,263.272,0,0.00118765,0.0,0,2538.06,63.1742,0,2.72912e+34,824.0,826.0,823.0,820.0,827.0,820.0,818.0,815.0,820.0,114.293,103.096,121.675,104.364,105.42,103.56,104.523,103.222,104.714,930.0,25290.0,842.0,658.0,157.0,0.0,0.0,0.0,1.0,2.0,0.0,335.0,400.0,842.0,0.0,0.0,19.0,0.44159,52.0,3.09851,8.780289999999999,10173,killed-pop9
